Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C2, C21, C29, C3, C31, C32, C33, C34, C35, C36, C38, C42, C45, C46, C57",0402,18,100n,
C11,0402,1,33n,
"C12, C15",0603,2,1u,
"C14, C24",0603,2,10u,
C16,0805,1,47n,
"C18, C19, C20",0402,3,1u,
"C22, C25, C26, C50",0805,4,2.2u,
C23,CP_Radial_D12.5mm_P5.00mm,1,330u,
C28,0805,1,100n,
"C30, C37",0603,2,4.7u,
C39,0402,1,10u,
C4,0402,1,47n,
"C40, C41, C54",0805,3,22u,
"C43, C44",0402,2,18p,C52923
C51,0402,1,2.2n,
C52,0402,1,3.3n,
C53,0402,1,56p,
D1,D_SOD-323,1,SD05T1G,
D10,D_SMA,1,SMAJ5.0A,
"D11, D12, D13, D21",0603,4,RED,
"D14, D19, D20, D7",D_SOD-882,4,PESD5V0L1UL,
"D15, D16, D17",D_SMC,3,SMCJ90A,
D18,D_SMA,1,BZG05C75-M3-08,
D2,SOT-23,1,PESD1CAN,
"D22, D24",D_SOD-882,2,PESD5V0S1UL,
"D23, D6, D8, D9",D_SOD-882,4,PESD3V3S1UL,
D4,D_SMC,1,SMCJ78A,
D5,D_SOD-123F,1,SS10150,
"F1, F2, F3, F4, F5",0805,5,MF-PSMF050X-2,
F6,1812,1,MF-PSMF050X-2,
"J1, J2",CONN_JST_SM04B-PASS,2,Conn_01x04_Pin,
J11,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,
J14,FanPinHeader_1x04_P2.54mm_Vertical,1,47053-1000,
"J3, J4",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,Conn_01x02_Pin,
J5,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J6,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_Socket,
J8,JST_PUD_B12B-PUDSS_2x06_P2.00mm_Vertical,1,Conn_02x06_Odd_Even,
J9,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,Conn_01x06_Socket,
L1,L_Bourns-SRN4018,1,68u SRN4018-680M,
"Q1, Q14",SOT-23,2,SI2302,
Q10,SOT-23,1,BC847,
Q11,SOT-23,1,BSS138,
Q12,SOT-23,1,BSS84,
"Q13, Q2",Infineon_PG-HSOF-8-1,2,IPT015N10N5,
"Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOP AdvanceN_TOS,7,TPH3R70APL,
"R1, R2",0805,2,60,
R10,0805,1,3.9k,
R11,0402,1,3.9k,
"R12, R13, R14",2512,3,1m,
"R15, R16, R20, R36, R60",0402,5,1k,
R17,0603,1,100k,
"R18, R22, R23, R35, R58, R59",0402,6,10k,
R19,0402,1,4.7,
R21,0603,1,4.7k,
"R24, R32, R37, R38",0402,4,0,
"R25, R26, R27, R28",0402,4,4.7k,
R29,0805,1,49,
R30,0402,1,24.9k,
R31,0402,1,121k,
R33,0402,1,1.8k,
R34,0402,1,3.3k,
R39,0402,1,453k,
R40,0402,1,143k,
"R47, R48",0402,2,5.1k,
"R49, R52, R53, R54, R57",0402,5,100k,
R50,0402,1,5k,
"R51, R55, R61",0402,3,2.2k,
R56,0402,1,100,
R6,2512,1,0.5m,
R7,0805,1,102k,
R8,0805,1,30k,
R9,0805,1,113k,
TH1,0603,1,Thermistor,
U1,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,1,DRV8353SRTAR,
U10,SOT-323_SC-70,1,TPD2E2U06DCK,
U11,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U12, U13",SOT-363_SC-70-6,2,LM66100DCK,
"U14, U8, U9",SOT-23-6,3,SRV05-4,
U15,SOT-23-6,1,TS5A3159ADBVR,
U16,CAT24C512C8UTR,1,CAT24C512C8UTR,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,MT6835GT-STD,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN1044VDR,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,~,
U5,MSOP-10_3x3mm_P0.5mm,1,LM5069MM-2,
U6,SOT-23-5,1,TLV70233_SOT23-5,
U7,LQFP-64_10x10mm_P0.5mm,1,STM32G474RET6,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XXGBBCNANF-25.000000MHZ,
