Designator,Mid X,Mid Y,Rotation,Layer
C1,158.4,-85.5,180.0,bottom
C11,163.8,-68.8,180.0,bottom
C12,153.2,-97.8,0.0,top
C13,143.6,-90.0,0.0,bottom
C14,153.4,-75.9,0.0,top
C15,162.9,-99.1,90.0,top
C16,160.0,-100.0,0.0,top
C17,164.2,-99.6,90.0,top
C18,157.6,-100.8,270.0,top
C19,156.4,-100.8,270.0,top
C2,154.6,-106.0,270.0,top
C20,154.3,-88.8,90.0,bottom
C21,156.1,-90.5,225.0,top
C22,174.0,-85.6,0.0,bottom
C23,161.623959,-81.8,180.0,top
C24,153.2,-77.6,0.0,bottom
C25,173.6,-97.6,0.0,bottom
C26,174.2,-104.2,0.0,bottom
C28,166.3,-100.2,180.0,bottom
C29,167.0,-93.6,180.0,bottom
C3,148.2,-102.6,0.0,top
C30,151.2,-109.8,0.0,top
C31,159.2,-101.6,45.0,bottom
C32,148.6,-96.0,315.0,bottom
C33,142.8,-106.4,225.0,bottom
C34,153.2,-112.4,135.0,bottom
C35,149.4,-112.4,315.0,bottom
C36,146.8,-97.8,315.0,bottom
C37,170.4,-115.4,0.0,bottom
C38,174.4,-116.6,270.0,bottom
C39,146.3,-87.9,0.0,top
C4,134.2,-95.4,270.0,bottom
C40,137.8,-86.8,180.0,bottom
C41,136.8,-75.6,0.0,bottom
C42,146.0,-97.0,315.0,bottom
C43,146.8,-113.4,270.0,bottom
C44,144.6,-109.6,90.0,bottom
C45,148.7,-109.3,0.0,top
C46,155.8,-112.8,0.0,top
C50,155.8,-80.8,90.0,bottom
C51,146.4,-80.0,90.0,bottom
C52,151.4,-83.8,270.0,top
C53,145.2,-82.2,90.0,bottom
C54,152.6,-86.0,0.0,top
C57,134.6,-68.6,270.0,bottom
D1,156.1,-87.8,270.0,bottom
D10,170.2,-118.0,0.0,bottom
D11,188.2,-68.4,180.0,top
D12,188.2,-70.2,180.0,top
D13,152.6,-87.8,0.0,top
D14,156.4,-116.6,180.0,bottom
D15,177.4,-109.0,0.0,bottom
D16,177.6,-93.0,0.0,bottom
D17,177.6,-81.0,0.0,bottom
D18,161.6,-75.0,180.0,bottom
D19,141.6,-105.2,270.0,top
D2,142.8,-99.2,90.0,top
D20,141.6,-101.6,90.0,bottom
D21,147.2,-91.6,0.0,top
D22,140.2,-62.0,90.0,bottom
D23,142.8,-62.0,90.0,bottom
D24,145.2,-62.0,90.0,bottom
D4,148.4,-72.8,90.0,top
D5,178.2,-70.0,0.0,bottom
D6,181.4,-113.8,0.0,top
D7,140.4,-118.4,180.0,bottom
D8,142.8,-118.4,180.0,bottom
D9,176.6,-113.8,180.0,top
F1,138.4,-113.4,180.0,bottom
F2,138.4,-118.0,90.0,bottom
F3,176.9,-116.9,90.0,bottom
F4,157.6,-118.6,180.0,bottom
F5,159.2,-115.8,90.0,bottom
F6,147.4,-67.6,0.0,bottom
H1,134.0,-64.0,0.0,top
H2,186.0,-64.0,0.0,top
H3,134.0,-116.0,0.0,top
H4,186.0,-116.0,0.0,top
H5,186.0,-104.0,180.0,top
H6,186.0,-90.0,180.0,top
H7,186.0,-76.0,180.0,top
J1,135.0,-104.0,270.0,top
J11,170.2,-117.535,0.0,top
J14,143.99,-65.1475,180.0,top
J2,135.0,-104.0,90.0,bottom
J3,138.2,-90.0,90.0,top
J4,138.2,-75.0,90.0,top
J5,178.124168,-67.5,180.0,top
J6,179.0,-116.8,180.0,top
J7,165.065,-105.876075,90.0,top
J8,145.2225,-116.05,0.0,top
J9,158.8,-116.8,180.0,top
L1,148.2,-85.0,0.0,top
Q1,135.0,-90.2,270.0,bottom
Q10,182.8,-69.4,270.0,bottom
Q11,137.0,-68.6,270.0,bottom
Q12,157.4,-105.8,270.0,top
Q13,168.4,-68.07,270.0,top
Q14,138.8,-92.8,270.0,bottom
Q2,157.2,-68.07,270.0,top
Q3,178.0,-108.7926,180.0,top
Q4,178.0,-102.0236,0.0,top
Q5,178.0,-95.2546,180.0,top
Q6,178.0,-88.4856,0.0,top
Q7,178.0,-81.7166,180.0,top
Q8,178.0,-74.9476,0.0,top
Q9,178.4536,-63.295,0.0,bottom
R1,135.0,-93.4,0.0,bottom
R10,152.25,-69.4,90.0,bottom
R11,165.0,-70.4,90.0,bottom
R12,171.8,-99.9,270.0,top
R13,171.8,-90.8,90.0,top
R14,170.6,-79.4,90.0,top
R15,146.3,-95.2,0.0,bottom
R16,144.2,-101.8,270.0,top
R17,167.4,-96.7,0.0,bottom
R18,185.2,-69.0,90.0,bottom
R19,181.6,-67.4,90.0,bottom
R2,132.2,-92.6,90.0,bottom
R20,183.2,-72.0,180.0,bottom
R21,167.4,-95.0,0.0,bottom
R22,173.5,-87.3,0.0,bottom
R23,179.6,-117.6,270.0,bottom
R24,146.8,-111.4,90.0,bottom
R25,158.0,-108.4,180.0,top
R26,158.0,-109.4,180.0,top
R27,159.4,-111.0,0.0,bottom
R28,153.2,-113.8,135.0,bottom
R29,153.0,-75.8,180.0,bottom
R30,155.2,-83.8,90.0,bottom
R31,145.2,-80.0,90.0,bottom
R32,151.4,-90.2,225.0,top
R33,142.8,-97.9,0.0,bottom
R34,142.8,-96.7,180.0,bottom
R35,140.0,-90.8,90.0,bottom
R36,141.1,-95.1,90.0,bottom
R37,152.2,-91.0,225.0,top
R38,153.0,-91.8,225.0,top
R39,148.8,-84.8,180.0,bottom
R40,148.2,-86.4,90.0,bottom
R47,168.4,-112.1,180.0,top
R48,172.6,-111.6,90.0,top
R49,146.3,-87.4,180.0,bottom
R50,188.2,-68.4,180.0,bottom
R51,188.2,-70.2,180.0,bottom
R52,147.2,-89.4,270.0,top
R53,148.8,-90.6,270.0,bottom
R54,146.6,-93.6,180.0,bottom
R55,152.6,-87.8,0.0,bottom
R56,138.0,-71.8,90.0,bottom
R57,136.4,-71.4,180.0,bottom
R58,138.2,-64.4,90.0,bottom
R59,140.0,-66.4,90.0,bottom
R6,149.0,-80.0,0.0,top
R60,141.2,-66.4,270.0,bottom
R61,147.2,-93.1,180.0,top
R7,154.45,-73.0,90.0,bottom
R8,156.65,-73.0,270.0,bottom
R9,152.25,-73.0,90.0,bottom
TH1,174.8,-88.7,180.0,bottom
U1,159.6,-94.0,225.0,top
U10,170.7,-111.1,90.0,top
U11,137.8,-81.2,270.0,bottom
U12,146.6,-89.2,180.0,bottom
U13,146.6,-91.8,180.0,bottom
U14,160.2,-111.8,180.0,top
U15,162.5375,-117.95,0.0,bottom
U16,156.2,-112.4,0.0,bottom
U2,160.0,-90.0,0.0,bottom
U3,150.2,-106.0,90.0,top
U4,150.83,-81.35,270.0,bottom
U5,161.25,-71.4,90.0,bottom
U6,151.8,-100.6,270.0,top
U7,151.0,-104.0,45.0,bottom
U8,143.6,-108.7,180.0,top
U9,153.35,-117.6,90.0,bottom
Y2,144.0,-112.4,0.0,bottom
