Designator,Mid X,Mid Y,Rotation,Layer
C1,117.0,-102.2,315.0,top
C11,131.6,-79.8,0.0,top
C12,131.0,-78.4,0.0,top
C13,127.6,-77.2,180.0,top
C14,124.2,-79.8,90.0,top
C15,119.2,-88.6,270.0,top
C16,115.2,-90.8,0.0,top
C17,103.8,-91.7,180.0,top
C18,117.4,-78.4,270.0,top
C2,118.2,-101.4,315.0,top
C3,110.4,-102.8,270.0,top
C4,113.2,-98.6,180.0,top
C5,126.315,-102.935,270.0,top
D1,138.4,-78.4,180.0,top
D2,133.6,-82.6,0.0,top
D3,138.4,-80.0,180.0,top
D4,101.6,-98.5,270.0,top
D5,102.9,-95.0,0.0,top
D6,105.0,-85.0,180.0,top
D7,101.8,-84.4,270.0,top
D8,126.6,-90.0,0.0,top
F1,131.0,-86.3,90.0,top
H1,107.0,-100.0,0.0,top
H2,107.0,-80.0,0.0,top
J1,133.8,-99.746075,90.0,top
J2,137.0,-90.0,90.0,top
J3,95.0,-97.0,270.0,top
J4,95.0,-83.0,270.0,top
Q1,107.0,-88.7,90.0,top
Q2,112.8,-81.2,180.0,top
Q3,109.3,-94.6,270.0,top
Q4,114.0,-95.6,180.0,top
R10,104.2,-88.9,90.0,top
R11,115.8,-81.2,90.0,top
R12,115.0,-78.4,180.0,top
R13,113.0,-92.4,0.0,top
R14,115.6,-93.8,90.0,top
R15,103.3,-97.4,0.0,top
R16,102.4,-82.6,0.0,top
R17,123.8,-90.0,0.0,top
R18,115.8,-100.4,225.0,top
R3,138.0,-77.0,0.0,top
R4,138.8,-81.4,0.0,top
R5,131.4,-92.6,270.0,top
R6,131.0,-88.6,180.0,top
R7,127.4,-92.6,0.0,top
R8,127.4,-91.6,0.0,top
R9,107.0,-91.7,180.0,top
U1,122.4,-97.2,315.0,top
U2,127.2,-79.8,0.0,top
U3,129.6,-92.0,270.0,top
U4,116.2125,-87.53125,90.0,top
Y1,112.8,-101.4,270.0,top
