 frequency       z_mag          
 1.00000000e+03  1.20120000e+02 
 1.01157945e+03  1.20120000e+02 
 1.02329299e+03  1.20120000e+02 
 1.03514217e+03  1.20120000e+02 
 1.04712855e+03  1.20120000e+02 
 1.05925373e+03  1.20120000e+02 
 1.07151931e+03  1.20120000e+02 
 1.08392691e+03  1.20120000e+02 
 1.09647820e+03  1.20120000e+02 
 1.10917482e+03  1.20120000e+02 
 1.12201845e+03  1.20120000e+02 
 1.13501082e+03  1.20120000e+02 
 1.14815362e+03  1.20120000e+02 
 1.16144861e+03  1.20120000e+02 
 1.17489755e+03  1.20120000e+02 
 1.18850223e+03  1.20120000e+02 
 1.20226443e+03  1.20120000e+02 
 1.21618600e+03  1.20120000e+02 
 1.23026877e+03  1.20120000e+02 
 1.24451461e+03  1.20120000e+02 
 1.25892541e+03  1.20120000e+02 
 1.27350308e+03  1.20120000e+02 
 1.28824955e+03  1.20120000e+02 
 1.30316678e+03  1.20120000e+02 
 1.31825674e+03  1.20120000e+02 
 1.33352143e+03  1.20120000e+02 
 1.34896288e+03  1.20120000e+02 
 1.36458314e+03  1.20120000e+02 
 1.38038426e+03  1.20120000e+02 
 1.39636836e+03  1.20120000e+02 
 1.41253754e+03  1.20120000e+02 
 1.42889396e+03  1.20120000e+02 
 1.44543977e+03  1.20120000e+02 
 1.46217717e+03  1.20120000e+02 
 1.47910839e+03  1.20120000e+02 
 1.49623566e+03  1.20120000e+02 
 1.51356125e+03  1.20120000e+02 
 1.53108746e+03  1.20120000e+02 
 1.54881662e+03  1.20120000e+02 
 1.56675107e+03  1.20120000e+02 
 1.58489319e+03  1.20120000e+02 
 1.60324539e+03  1.20120000e+02 
 1.62181010e+03  1.20120000e+02 
 1.64058977e+03  1.20120000e+02 
 1.65958691e+03  1.20120000e+02 
 1.67880402e+03  1.20120000e+02 
 1.69824365e+03  1.20120000e+02 
 1.71790839e+03  1.20120000e+02 
 1.73780083e+03  1.20120000e+02 
 1.75792361e+03  1.20120000e+02 
 1.77827941e+03  1.20120000e+02 
 1.79887092e+03  1.20120000e+02 
 1.81970086e+03  1.20120000e+02 
 1.84077200e+03  1.20120000e+02 
 1.86208714e+03  1.20120000e+02 
 1.88364909e+03  1.20120000e+02 
 1.90546072e+03  1.20120000e+02 
 1.92752491e+03  1.20120000e+02 
 1.94984460e+03  1.20120000e+02 
 1.97242274e+03  1.20120000e+02 
 1.99526231e+03  1.20120000e+02 
 2.01836636e+03  1.20120000e+02 
 2.04173794e+03  1.20120000e+02 
 2.06538016e+03  1.20120000e+02 
 2.08929613e+03  1.20120000e+02 
 2.11348904e+03  1.20120000e+02 
 2.13796209e+03  1.20120000e+02 
 2.16271852e+03  1.20120000e+02 
 2.18776162e+03  1.20120000e+02 
 2.21309471e+03  1.20120000e+02 
 2.23872114e+03  1.20120000e+02 
 2.26464431e+03  1.20120000e+02 
 2.29086765e+03  1.20120000e+02 
 2.31739465e+03  1.20120000e+02 
 2.34422882e+03  1.20120000e+02 
 2.37137371e+03  1.20120000e+02 
 2.39883292e+03  1.20120000e+02 
 2.42661010e+03  1.20120000e+02 
 2.45470892e+03  1.20120000e+02 
 2.48313311e+03  1.20120000e+02 
 2.51188643e+03  1.20120000e+02 
 2.54097271e+03  1.20120000e+02 
 2.57039578e+03  1.20120000e+02 
 2.60015956e+03  1.20120000e+02 
 2.63026799e+03  1.20120000e+02 
 2.66072506e+03  1.20120000e+02 
 2.69153480e+03  1.20120000e+02 
 2.72270131e+03  1.20120000e+02 
 2.75422870e+03  1.20120000e+02 
 2.78612117e+03  1.20120000e+02 
 2.81838293e+03  1.20120000e+02 
 2.85101827e+03  1.20120000e+02 
 2.88403150e+03  1.20120000e+02 
 2.91742701e+03  1.20120000e+02 
 2.95120923e+03  1.20120000e+02 
 2.98538262e+03  1.20120000e+02 
 3.01995172e+03  1.20120000e+02 
 3.05492111e+03  1.20120000e+02 
 3.09029543e+03  1.20120000e+02 
 3.12607937e+03  1.20120000e+02 
 3.16227766e+03  1.20120000e+02 
 3.19889511e+03  1.20120000e+02 
 3.23593657e+03  1.20120000e+02 
 3.27340695e+03  1.20120000e+02 
 3.31131121e+03  1.20120000e+02 
 3.34965439e+03  1.20120000e+02 
 3.38844156e+03  1.20120000e+02 
 3.42767787e+03  1.20120000e+02 
 3.46736850e+03  1.20120000e+02 
 3.50751874e+03  1.20120000e+02 
 3.54813389e+03  1.20120000e+02 
 3.58921935e+03  1.20120000e+02 
 3.63078055e+03  1.20120000e+02 
 3.67282300e+03  1.20120000e+02 
 3.71535229e+03  1.20120000e+02 
 3.75837404e+03  1.20120000e+02 
 3.80189396e+03  1.20120000e+02 
 3.84591782e+03  1.20120000e+02 
 3.89045145e+03  1.20120000e+02 
 3.93550075e+03  1.20120000e+02 
 3.98107171e+03  1.20120000e+02 
 4.02717034e+03  1.20120000e+02 
 4.07380278e+03  1.20120000e+02 
 4.12097519e+03  1.20120000e+02 
 4.16869383e+03  1.20120000e+02 
 4.21696503e+03  1.20120000e+02 
