 time            v(canh_bus)     v(canl_bus)     v(mid)          Vdiff          
 1.00000000e-11  2.50050025e+00  2.49949975e+00  2.50000000e+00  9.99500250e-04 
 2.00000000e-11  2.50100050e+00  2.49899950e+00  2.50000000e+00  1.99900050e-03 
 4.00000000e-11  2.50200100e+00  2.49799900e+00  2.50000000e+00  3.99800100e-03 
 8.00000000e-11  2.50400200e+00  2.49599800e+00  2.50000000e+00  7.99600200e-03 
 1.60000000e-10  2.50800400e+00  2.49199600e+00  2.50000000e+00  1.59920040e-02 
 3.20000000e-10  2.51600800e+00  2.48399200e+00  2.50000000e+00  3.19840080e-02 
 6.40000000e-10  2.53201599e+00  2.46798401e+00  2.50000000e+00  6.39680160e-02 
 1.00000000e-09  2.55002499e+00  2.44997501e+00  2.50000000e+00  9.99500250e-02 
 1.06400000e-09  2.55322659e+00  2.44677341e+00  2.50000000e+00  1.06346827e-01 
 1.19200000e-09  2.55962979e+00  2.44037021e+00  2.50000000e+00  1.19140430e-01 
 1.44800000e-09  2.57243618e+00  2.42756382e+00  2.50000000e+00  1.44727636e-01 
 1.96000000e-09  2.59804898e+00  2.40195102e+00  2.50000000e+00  1.95902049e-01 
 2.96000000e-09  2.64807396e+00  2.35192604e+00  2.50000000e+00  2.95852074e-01 
 3.96000000e-09  2.69809895e+00  2.30190105e+00  2.50000000e+00  3.95802099e-01 
 4.96000000e-09  2.74812394e+00  2.25187606e+00  2.50000000e+00  4.95752124e-01 
 5.96000000e-09  2.79814893e+00  2.20185107e+00  2.50000000e+00  5.95702149e-01 
 6.96000000e-09  2.84817391e+00  2.15182609e+00  2.50000000e+00  6.95652174e-01 
 7.96000000e-09  2.89819890e+00  2.10180110e+00  2.50000000e+00  7.95602199e-01 
 8.96000000e-09  2.94822389e+00  2.05177611e+00  2.50000000e+00  8.95552224e-01 
 9.96000000e-09  2.99824888e+00  2.00175112e+00  2.50000000e+00  9.95502249e-01 
 1.00000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.00800000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.02400000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.05600000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.12000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.22000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.32000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.42000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.52000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.62000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.72000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.82000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 1.92000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.02000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.12000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.22000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.32000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.42000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.52000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.62000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.72000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.82000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 2.92000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.02000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.12000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.22000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.32000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.42000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.52000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.62000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.72000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.82000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 3.92000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.02000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.12000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.22000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.32000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.42000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.52000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.62000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.72000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.82000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 4.92000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 5.02000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 5.12000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 5.22000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
 5.32000000e-08  3.00024988e+00  1.99975012e+00  2.50000000e+00  9.99500250e-01 
