 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch  v_am_esd#branch v_am_prot#branch
 1.00000000e-09  4.82776841e-04  5.60799783e-05  4.26696862e-07 -1.19204163e-05 -1.46295639e-07 
 2.00000000e-09  4.98850155e-04  1.05296757e-04  3.93553398e-07 -5.45673948e-07 -1.47467007e-07 
 4.00000000e-09  5.00065619e-04  1.90538533e-04  3.09527086e-07  3.28126268e-07 -1.18404435e-07 
 8.00000000e-09  4.99787723e-04  3.14008609e-04  1.85779114e-07  1.82712006e-08 -7.06119843e-08 
 1.60000000e-08  4.99892454e-04  4.45312082e-04  5.45803718e-08 -2.29505078e-09 -2.06871254e-08 
 3.20000000e-08  4.99972971e-04  5.22954126e-04 -2.29811552e-08 -1.63920907e-11  8.72229364e-09 
 6.40000000e-08  4.99975256e-04  5.25115286e-04 -2.51400298e-08  8.14714817e-11  9.53980871e-09 
 1.00000000e-07  4.99956653e-04  5.06576732e-04 -6.62007898e-09  2.02309495e-11  2.51533977e-09 
 1.06400000e-07  4.99953706e-04  5.03639019e-04 -3.68531307e-09  1.10088651e-11  1.40211691e-09 
 1.19200000e-07  4.99950686e-04  5.00629722e-04 -6.79035532e-10  1.63661804e-12  2.61738699e-10 
 1.44800000e-07  4.99949400e-04  4.99347144e-04  6.02256041e-10 -2.35717072e-12 -2.24299461e-10 
 1.96000000e-07  4.99949655e-04  4.99601559e-04  3.48096382e-10 -1.56488522e-12 -1.27887802e-10 
 2.96000000e-07  4.99949976e-04  4.99921331e-04  2.86450409e-11 -5.69071452e-13 -6.70894485e-12 
 3.96000000e-07  4.99950002e-04  4.99947408e-04  2.59404647e-12 -4.87863344e-13  3.17307537e-12 
 4.96000000e-07  4.99949994e-04  4.99939658e-04  1.03360098e-11 -5.11997314e-13  2.36287853e-13 
 5.96000000e-07  4.99949992e-04  4.99937605e-04  1.23868496e-11 -5.18390127e-13 -5.41664860e-13 
 6.96000000e-07  4.99949992e-04  4.99937589e-04  1.24034449e-11 -5.18441973e-13 -5.47960026e-13 
 7.96000000e-07  4.99949992e-04  4.99937660e-04  1.23320684e-11 -5.18219348e-13 -5.20884523e-13 
 8.96000000e-07  4.99949992e-04  4.99937671e-04  1.23212025e-11 -5.18185434e-13 -5.16762710e-13 
 9.96000000e-07  4.99949992e-04  4.99937670e-04  1.23222065e-11 -5.18188658e-13 -5.17143537e-13 
 1.09600000e-06  4.99949992e-04  4.99937669e-04  1.23227417e-11 -5.18190241e-13 -5.17346588e-13 
 1.19600000e-06  4.99949992e-04  4.99937669e-04  1.23227826e-11 -5.18190445e-13 -5.17362100e-13 
 1.29600000e-06  4.99949992e-04  4.99937669e-04  1.23227693e-11 -5.18190434e-13 -5.17357033e-13 
 1.39600000e-06  4.99949992e-04  4.99937669e-04  1.23227659e-11 -5.18190410e-13 -5.17355733e-13 
 1.49600000e-06  4.99949992e-04  4.99937669e-04  1.23227659e-11 -5.18190413e-13 -5.17355740e-13 
 1.59600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355788e-13 
 1.69600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355802e-13 
 1.79600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355795e-13 
 1.89600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 1.99600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.09600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.19600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.29600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.39600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.49600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.59600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.69600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.79600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.89600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 2.99600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.09600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.19600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.29600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.39600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.49600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.59600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.69600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.79600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.89600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 3.99600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.09600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.19600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.29600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.39600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.49600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.59600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.69600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.79600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.89600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 4.99600000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190414e-13 -5.17355793e-13 
 5.00000000e-06  4.99949992e-04  4.99937669e-04  1.23227660e-11 -5.18190413e-13 -5.17355793e-13 
 5.00025866e-06  1.19258374e-02  9.12870529e-04  1.10129668e-05 -1.05307890e-03 -3.03070385e-06 
 5.00077597e-06  3.74230400e-02  2.69969209e-03  3.47233479e-05 -1.31010747e-03 -1.12611634e-05 
 5.00181060e-06  8.92382847e-02  1.04408098e-02  7.87974749e-05 -1.19791786e-03 -2.79604964e-05 
 5.00312903e-06  1.55179384e-01  2.77085385e-02  1.27470845e-04 -1.12919928e-03 -4.62531211e-05 
 5.00576588e-06  2.87012883e-01  8.27587234e-02  2.04254159e-04 -1.04833006e-03 -7.39337206e-05 
 5.01103959e-06  5.50700139e-01  2.50798642e-01  2.99901497e-04 -9.24187618e-04 -1.03959981e-04 
 5.02158700e-06  1.07811163e+00  7.09428036e-01  3.68683594e-04 -7.61773282e-04 -1.12538926e-04 
 5.03931334e-06  1.96449535e+00  1.60189148e+00  3.62603864e-04 -6.12643229e-04 -8.93502516e-05 
 5.06728326e-06  3.36301076e+00  3.03944727e+00  3.23563489e-04 -4.92627739e-04 -6.33643351e-05 
 5.10000000e-06  4.99877539e+00  4.69604535e+00  3.02730043e-04 -4.22040346e-04 -5.16052176e-05 
 5.10541626e-06  4.99983530e+00  4.83913722e+00  1.60698079e-04 -2.05925061e-06 -2.85974914e-05 
 5.11624878e-06  4.99997989e+00  4.97762047e+00  2.23594198e-05  1.16708598e-06 -3.88301558e-06 
 5.13791381e-06  5.00002812e+00  5.02805534e+00 -2.80272201e-05  4.17031524e-08  4.81929641e-06 
 5.17800308e-06  5.00001293e+00  5.01291208e+00 -1.28991488e-05  1.29895889e-08  2.23419935e-06 
 5.23363934e-06  5.00000075e+00  5.00075353e+00 -7.52777488e-07 -3.89655508e-09  1.28741685e-07 
 5.33363934e-06  4.99999928e+00  4.99928342e+00  7.15861126e-07 -6.02221889e-09 -1.28522043e-07 
 5.43363934e-06  4.99999988e+00  4.99988926e+00  1.10627911e-07 -5.14540540e-09 -2.24372115e-08 
 5.53363934e-06  4.99999999e+00  4.99999751e+00  2.48353017e-09 -4.98865381e-09 -3.51057676e-09 
 5.63363934e-06  4.99999999e+00  4.99999270e+00  7.28383359e-09 -4.99561191e-09 -4.35054720e-09 
 5.73363934e-06  4.99999998e+00  4.99998916e+00  1.08243972e-08 -5.00074403e-09 -4.97008989e-09 
 5.83363934e-06  4.99999998e+00  4.99998890e+00  1.10846860e-08 -5.00112132e-09 -5.01563669e-09 
 5.93363934e-06  4.99999998e+00  4.99998897e+00  1.10151954e-08 -5.00102059e-09 -5.00347683e-09 
 6.03363934e-06  4.99999998e+00  4.99998898e+00  1.10002304e-08 -5.00099890e-09 -5.00085818e-09 
 6.13363934e-06  4.99999998e+00  4.99998898e+00  1.10004982e-08 -5.00099929e-09 -5.00090504e-09 
 6.23363934e-06  4.99999998e+00  4.99998898e+00  1.10009441e-08 -5.00099993e-09 -5.00098305e-09 
 6.33363934e-06  4.99999998e+00  4.99998898e+00  1.10009862e-08 -5.00100000e-09 -5.00099043e-09 
 6.43363934e-06  4.99999998e+00  4.99998898e+00  1.10009785e-08 -5.00099998e-09 -5.00098908e-09 
 6.53363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098872e-09 
 6.63363934e-06  4.99999998e+00  4.99998898e+00  1.10009764e-08 -5.00099998e-09 -5.00098872e-09 
 6.73363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 6.83363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 6.93363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.03363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.13363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.23363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.33363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.43363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.53363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.63363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.73363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.83363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 7.93363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.03363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.13363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.23363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.33363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.43363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.53363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.63363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.73363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.83363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 8.93363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.03363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.13363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.23363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.33363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.43363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.53363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.63363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.73363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.83363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 9.93363934e-06  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.00336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.01336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.02336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.03336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.04336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.05336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.06336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.07336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.08336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.09336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.10336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.11336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.12336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.13336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.14336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.15336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.16336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.17336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.18336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.19336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.20336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.21336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.22336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.23336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.24336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.25336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.26336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.27336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.28336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.29336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.30336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.31336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.32336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.33336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.34336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.35336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.36336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.37336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.38336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.39336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.40336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.41336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.42336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.43336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.44336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.45336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.46336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.47336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.48336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.49336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.50336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.51336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.52336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.53336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.54336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.55336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.56336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.57336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.58336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.59336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.60336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.61336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.62336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.63336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.64336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.65336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.66336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.67336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.68336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.69336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.70336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.71336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.72336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.73336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.74336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.75336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.76336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.77336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
 1.78336393e-05  4.99999998e+00  4.99998898e+00  1.10009765e-08 -5.00099998e-09 -5.00098873e-09 
