 time            v(conn_pin)     v(gate)         v(mcu_gpio)     v_am_esd#branch
 1.00000000e-09  4.51627249e-04  6.85459870e-05  0.00000000e+00 -1.11495366e-05 
 2.00000000e-09  4.94737413e-04  6.66652611e-05  0.00000000e+00 -1.20309351e-06 
 4.00000000e-09  5.02083610e-04  5.19851723e-05  0.00000000e+00  6.28994048e-07 
 8.00000000e-09  5.00110390e-04  2.92644512e-05  0.00000000e+00  9.21676845e-08 
 1.60000000e-08  4.99872685e-04  6.85173095e-06  0.00000000e+00 -7.83939657e-09 
 3.20000000e-08  4.99979606e-04 -4.68502755e-06  0.00000000e+00 -8.87090422e-10 
 6.40000000e-08  4.99977030e-04 -3.74128464e-06  0.00000000e+00  1.17138570e-10 
 1.00000000e-07  4.99955755e-04 -7.13351707e-07  0.00000000e+00  2.12626236e-11 
 1.06400000e-07  4.99953057e-04 -3.28818014e-07  0.00000000e+00  1.00392750e-11 
 1.19200000e-07  4.99950441e-04  4.49556211e-08  0.00000000e+00  9.68745917e-13 
 1.44800000e-07  4.99949473e-04  1.83410706e-07  0.00000000e+00 -2.34961356e-12 
 1.96000000e-07  4.99949754e-04  1.43190731e-07  0.00000000e+00 -1.37898026e-12 
 2.96000000e-07  4.99950001e-04  1.07975629e-07  0.00000000e+00 -5.29666588e-13 
 3.96000000e-07  4.99950012e-04  1.06393573e-07  0.00000000e+00 -4.91509611e-13 
 4.96000000e-07  4.99950005e-04  1.07339406e-07  0.00000000e+00 -5.14317755e-13 
 5.96000000e-07  4.99950004e-04  1.07515083e-07  0.00000000e+00 -5.18550480e-13 
 6.96000000e-07  4.99950004e-04  1.07507123e-07  0.00000000e+00 -5.18377008e-13 
 7.96000000e-07  4.99950004e-04  1.07500328e-07  0.00000000e+00 -5.18189658e-13 
 8.96000000e-07  4.99950004e-04  1.07499699e-07  0.00000000e+00 -5.18196597e-13 
 9.96000000e-07  4.99950004e-04  1.07499839e-07  0.00000000e+00 -5.18182719e-13 
 1.09600000e-06  4.99950004e-04  1.07499878e-07  0.00000000e+00 -5.18196597e-13 
 1.19600000e-06  4.99950004e-04  1.07499878e-07  0.00000000e+00 -5.18182719e-13 
 1.29600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 1.39600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18182719e-13 
 1.49600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18203536e-13 
 1.59600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18182719e-13 
 1.69600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18203536e-13 
 1.79600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18168841e-13 
 1.89600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 1.99600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 2.09600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18189658e-13 
 2.19600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18182719e-13 
 2.29600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18203536e-13 
 2.39600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18182719e-13 
 2.49600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 2.59600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18182719e-13 
 2.69600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 2.79600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18189658e-13 
 2.89600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18196597e-13 
 2.99600000e-06  4.99950004e-04  1.07499877e-07  0.00000000e+00 -5.18175780e-13 
