 time            v(conn_pin)     v(gate)         v(gate_drive)  
 5.00000000e-11  2.50236052e-02  6.37111205e-02  3.30000000e+00 
 7.90459266e-11  3.83909590e-02  9.80719361e-02  3.30000000e+00 
 1.37137780e-10  6.43322561e-02  1.65791845e-01  3.30000000e+00 
 2.45101180e-10  1.10899141e-01  2.88007358e-01  3.30000000e+00 
 4.61027979e-10  1.99958406e-01  5.18815434e-01  3.30000000e+00 
 7.72106614e-10  3.16987085e-01  8.21217430e-01  3.30000000e+00 
 9.99703394e-10  1.86000738e-01  9.88415514e-01  3.30000000e+00 
 1.20540865e-09  5.14338306e-02  1.12450666e+00  3.30000000e+00 
 1.38770244e-09  1.32781620e-02  1.25007959e+00  3.30000000e+00 
 1.53943495e-09  8.03266429e-03  1.35354287e+00  3.30000000e+00 
 1.70362804e-09  7.71941183e-03  1.46060233e+00  3.30000000e+00 
 1.86815662e-09  7.13286652e-03  1.56195122e+00  3.30000000e+00 
 2.09113139e-09  6.06808845e-03  1.69043601e+00  3.30000000e+00 
 2.53708094e-09  4.52646210e-03  1.92024549e+00  3.30000000e+00 
 3.26933578e-09  3.05737070e-03  2.23104518e+00  3.30000000e+00 
 4.73384548e-09  1.52727157e-03  2.67021425e+00  3.30000000e+00 
 5.00000000e-09  1.47269784e-03  2.72641790e+00  3.30000000e+00 
 5.29290194e-09  1.33341212e-03  2.77895492e+00  3.30000000e+00 
 5.87870582e-09  1.08095179e-03  2.87268645e+00  3.30000000e+00 
 7.05031358e-09  7.11196160e-04  3.01632153e+00  3.30000000e+00 
 9.39352910e-09  2.93585271e-04  3.18627466e+00  3.30000000e+00 
 1.40799601e-08 -6.72040988e-06  3.31130001e+00  3.30000000e+00 
 1.90799601e-08 -2.88342073e-05  3.32656120e+00  3.30000000e+00 
 2.40799601e-08  3.53295537e-06  3.31473702e+00  3.30000000e+00 
 2.90799601e-08  2.57653896e-05  3.30502682e+00  3.30000000e+00 
 3.40799601e-08  3.53119881e-05  3.30083354e+00  3.30000000e+00 
 3.90799601e-08  3.78182170e-05  3.29973728e+00  3.30000000e+00 
 4.40799601e-08  3.78887460e-05  3.29970751e+00  3.30000000e+00 
 4.90799601e-08  3.75432104e-05  3.29985918e+00  3.30000000e+00 
 5.40799601e-08  3.73179423e-05  3.29995797e+00  3.30000000e+00 
 5.90799601e-08  3.72317624e-05  3.29999576e+00  3.30000000e+00 
 6.40799601e-08  3.72132236e-05  3.30000389e+00  3.30000000e+00 
 6.90799601e-08  3.72150895e-05  3.30000307e+00  3.30000000e+00 
 7.40799601e-08  3.72191256e-05  3.30000130e+00  3.30000000e+00 
 7.90799601e-08  3.72213418e-05  3.30000033e+00  3.30000000e+00 
