 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 5.00000000e-11  5.63822201e-04  5.58239616e-06  5.58239805e-07 
 1.00000000e-10  1.04915524e-03  1.59147953e-05  1.03324045e-06 
 2.00000000e-10  1.97131023e-03  4.72691879e-05  1.92404104e-06 
 4.00000000e-10  3.77822051e-03  1.59208853e-04  3.61901166e-06 
 8.00000000e-10  7.37526455e-03  5.75164461e-04  6.80010009e-06 
 1.60000000e-09  1.45152212e-02  2.09980244e-03  1.24154187e-05 
 3.20000000e-09  2.86079142e-02  7.39277417e-03  2.12151400e-05 
 5.00000000e-09  4.42355546e-02  1.60810117e-02  2.81545429e-05 
 5.32000000e-09  4.69865027e-02  1.79399566e-02  2.90465461e-05 
 5.96000000e-09  5.24794094e-02  2.17844379e-02  3.06949715e-05 
 7.24000000e-09  6.34252961e-02  2.99948178e-02  3.34304784e-05 
 9.80000000e-09  8.51976460e-02  4.79922523e-02  3.72053937e-05 
 1.48000000e-08  1.27479205e-01  8.65938353e-02  4.08853697e-05 
 1.98000000e-08  1.69612218e-01  1.27520566e-01  4.20916523e-05 
 2.48000000e-08  2.11692457e-01  1.69373533e-01  4.23189244e-05 
 2.98000000e-08  2.53751963e-01  2.11494173e-01  4.22577906e-05 
 3.48000000e-08  2.95787350e-01  2.53634058e-01  4.21532919e-05 
 3.98000000e-08  3.37780978e-01  2.95719104e-01  4.20618740e-05 
 4.48000000e-08  3.79711806e-01  3.37731309e-01  4.19804969e-05 
 4.98000000e-08  4.21559600e-01  3.79662997e-01  4.18966034e-05 
 5.48000000e-08  4.63306010e-01  4.21504286e-01  4.18017242e-05 
 5.98000000e-08  5.04934524e-01  4.63242201e-01  4.16923233e-05 
 6.48000000e-08  5.46430185e-01  5.04862357e-01  4.15678283e-05 
 6.98000000e-08  5.87779327e-01  5.46350372e-01  4.14289548e-05 
 7.48000000e-08  6.28969401e-01  5.87692601e-01  4.12767999e-05 
 7.98000000e-08  6.69988852e-01  6.28876381e-01  4.11124713e-05 
 8.48000000e-08  7.10827028e-01  6.69890048e-01  4.09369800e-05 
 8.98000000e-08  7.51474112e-01  7.10722880e-01  4.07512320e-05 
 9.48000000e-08  7.91921057e-01  7.51365011e-01  4.05560457e-05 
 9.98000000e-08  8.32159530e-01  7.91807361e-01  4.03521687e-05 
 1.04800000e-07  8.72181859e-01  8.32041570e-01  4.01402899e-05 
 1.09800000e-07  9.11980989e-01  8.72059942e-01  3.99210471e-05 
 1.14800000e-07  9.51550434e-01  9.11855401e-01  3.96950328e-05 
 1.19800000e-07  9.90884240e-01  9.51421442e-01  3.94627976e-05 
 1.24800000e-07  1.02997695e+00  9.90752094e-01  3.92248545e-05 
 1.29800000e-07  1.06882356e+00  1.02984188e+00  3.89816812e-05 
 1.34800000e-07  1.10741951e+00  1.06868579e+00  3.87337235e-05 
 1.39800000e-07  1.14576063e+00  1.10727923e+00  3.84813975e-05 
 1.44800000e-07  1.18384314e+00  1.14561804e+00  3.82250919e-05 
 1.49800000e-07  1.22166358e+00  1.18369841e+00  3.79651705e-05 
 1.54800000e-07  1.25921887e+00  1.22151689e+00  3.77019734e-05 
